MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0105111000,- - - Breeding fowls,No,572,NEPAL,147,"2,371","8,802",0,"2,150"
01,0106110001,- - Primates | Monkeys,No,412,JAPAN,520,36,"101,510",0,0
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"19,000","19,000","29,611",0,0
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,168,TAIWAN (REP. OF CHINA),"9,491","9,491","12,962",0,0
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,808,TURKEY,250,250,"1,250",0,0
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,860,UNITED STATES OF AMERICA,800,800,"1,000",0,0
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,380,INDONESIA,100,800,"1,000",0,0
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,412,JAPAN,72,35,"4,309",0,0
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,440,REPUBLIC OF KOREA,50,6,"4,121",0,0
01,0106909007,- Other | Butterflies,No,128,CANADA,17,"7,387","3,239",0,0
01,0106909007,- Other | Butterflies,No,309,GERMANY,1,50,30,0,0
01,0106909007,- Other | Butterflies,No,576,NETHERLANDS,30,"15,200","4,560",0,0
01,0106909007,- Other | Butterflies,No,592,NEW ZEALAND,11,"5,770","1,732",0,0
01,0106909007,- Other | Butterflies,No,720,SINGAPORE,3,"1,200",360,0,0
01,0106909007,- Other | Butterflies,No,856,UK OF GREAT BRITAIN AND N. IRELAND,38,"19,742","6,296",0,0
01,0106909007,- Other | Butterflies,No,860,UNITED STATES OF AMERICA,30,"12,901","5,655",0,0
01,0207142001,- - - Thighs | A.  In-Quota,Net kg,860,UNITED STATES OF AMERICA,"19,944","17,950","83,895",0,0
01,0207149001,- - - Other | Cuts,Net kg,412,JAPAN,"354,140","336,433","1,400,798",0,0
01,0210199009,- - - Other | Other,Net kg ,836,"UNITED ARAB EMIRATES, N.E.S.",300,286,674,0,0
01,0210199009,- - - Other | Other,Net kg ,844,QATAR,"3,072","2,932","6,913",0,0
01,0210200000,- Meat of bovine animals,Net kg,836,"UNITED ARAB EMIRATES, N.E.S.","3,665","3,299","8,248",0,0
01,0301102000,"- - Other, marine fish",Gross kg,032,ARGENTINA,900,900,"1,247",0,0
01,0301102000,"- - Other, marine fish",Gross kg,036,AUSTRALIA,"3,850","3,850","1,812",0,0
01,0301102000,"- - Other, marine fish",Gross kg,040,AUSTRIA,350,350,350,0,0
01,0301102000,"- - Other, marine fish",Gross kg,064,BELGIUM,900,900,592,0,0
01,0301102000,"- - Other, marine fish",Gross kg,108,BRUNEI DARUSSALAM,"3,300","3,300","7,084",0,0
01,0301102000,"- - Other, marine fish",Gross kg,128,CANADA,"19,810","19,810","16,344",0,0
01,0301102000,"- - Other, marine fish",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"3,780","3,780","5,025",0,0
01,0301102000,"- - Other, marine fish",Gross kg,168,TAIWAN (REP. OF CHINA),"18,750","18,750","16,203",0,0
01,0301102000,"- - Other, marine fish",Gross kg,268,FRANCE,"3,048","3,048","7,530",0,0
01,0301102000,"- - Other, marine fish",Gross kg,309,GERMANY,"10,712","10,712","14,337",0,0
01,0301102000,"- - Other, marine fish",Gross kg,364,"HONG KONG, CHINA","77,930","77,930","53,316",0,0
01,0301102000,"- - Other, marine fish",Gross kg,396,ISRAEL,"1,320","1,320","1,913",0,0
01,0301102000,"- - Other, marine fish",Gross kg,400,ITALY,"4,550","4,550","5,813",0,0
01,0301102000,"- - Other, marine fish",Gross kg,412,JAPAN,"40,836","40,836","27,278",0,0
01,0301102000,"- - Other, marine fish",Gross kg,440,REPUBLIC OF KOREA,"11,600","11,600","12,736",0,0
01,0301102000,"- - Other, marine fish",Gross kg,444,KUWAIT,800,800,"1,298",0,0
01,0301102000,"- - Other, marine fish",Gross kg,484,MACAU,700,700,442,0,0
01,0301102000,"- - Other, marine fish",Gross kg,500,MALAYSIA,"8,200","8,200","4,917",0,0
01,0301102000,"- - Other, marine fish",Gross kg,576,NETHERLANDS,"1,124","1,124","2,144",0,0
